the_official_name,gdelt_name,cyber_news_count,cited_by_count,works_count,log_cited_by_count,log_works_count,country,match_score,prestige_tier
"University of Maryland, Baltimore",University Of Maryland At Baltimore; University Of Maryland Baltimore,8,16277886,129298,16.60531812,11.76988283,US,97,Elite (5M+)
"University of Maryland, College Park",University Of Maryland College Park; University Of Maryland University College,9,24038645,241034,16.99517334,12.39269743,US,95,Elite (5M+)
University of Massachusetts Amherst,University Of Massachusetts; University Of Massachusetts Amherst,27,11073433,124720,16.22005946,11.73383452,US,95,Elite (5M+)
University of Massachusetts Dartmouth,University Of Massachusetts Dartmouth,3,461296,11562,13.04179737,9.355565624,US,100,Medium (100K-1M)
University of Massachusetts Lowell,University Of Massachusetts Lowell,6,1210444,26061,14.00649862,10.16823359,US,100,High (1M-5M)
University of Memphis,University Of Memphis,11,1894083,38400,14.4542459,10.55583878,US,100,High (1M-5M)
University of Miami,University Of Miami,17,13975669,169433,16.45282852,12.04021875,US,100,Elite (5M+)
University of Michigan,Michigan University; University Of Michigan; University Of Michigan Health; University Of Michigan National Poll On Healthy; University Of Michigan Professor Of Computer Science; University Of Michigan School Of Information,101,65924778,980613,18.00402494,13.79593419,US,90,Elite (5M+)
University of Milan,University Of Milan; University State Of Milan,10,18326889,374111,16.72387994,12.8323105,IT,95,Elite (5M+)
University of Minnesota,University Of Minnesota; University Of Minnesota Center; University Of Minnesota Food Protection; University Of Minnesota Technological Leadership Institute,54,36469734,334875,17.4119933,12.72151559,US,90,Elite (5M+)
University of Mississippi,University Of Mississippi,4,3001021,62011,14.91446346,11.03508319,US,100,High (1M-5M)
University of Missouri,Missouri University Of Science; University Of Missouri; University Of Missouri Health Care,35,8932826,133102,16.00524348,11.79887854,US,90,Elite (5M+)
University of Modena and Reggio Emilia,University Of Modena,7,4487389,63458,15.3167818,11.05814931,IT,90,High (1M-5M)
University of Molise,University Of Molise,6,592204,12821,13.29160814,9.458917725,IT,100,Medium (100K-1M)
University of Montana,University Of Montana,11,2907472,39157,14.88279488,10.57536002,US,100,High (1M-5M)
University of Mpumalanga,University Of Mpumalanga,3,26010,2052,10.1662748,7.627057417,ZA,100,Low (<100K)
University of Mumbai,University Of Mumbai,4,577339,18291,13.26618663,9.814219085,IN,100,Medium (100K-1M)
University of Nairobi,University Of Nairobi,7,913757,33084,13.72532105,10.40683529,KE,100,Medium (100K-1M)
University of Nebraska at Kearney,University Of Nebraska At Kearney,3,142663,5338,11.86824749,8.582793649,US,100,Medium (100K-1M)
University of Nebraska at Omaha,University Of Nebraska At Omaha,9,737296,22212,13.51074608,10.00843298,US,100,Medium (100K-1M)
University of Nebraska–Lincoln,University Of Nebraska,36,8239117,108318,15.92440386,11.59283586,US,95,Elite (5M+)
"University of Nevada, Reno",University Of Nevada,25,3070483,52150,14.93734576,10.86189864,US,95,High (1M-5M)
University of New Brunswick,University Of New Brunswick,20,1890095,38301,14.45213818,10.55325739,CA,100,High (1M-5M)
University of New England,England University; University Of New England,11,1341808,25419,14.10952926,10.14329154,AU,95,High (1M-5M)
University of New Hampshire,University Of New Hampshire,7,2828984,37900,14.85542855,10.54273278,US,100,High (1M-5M)
University of New Haven,University Of New Haven,25,488764,9825,13.09963708,9.192787213,US,100,Medium (100K-1M)
University of New Mexico,University Of New Mexico,10,8423193,99980,15.94649965,11.51273545,US,100,Elite (5M+)
University of New Orleans,University Of New Orleans,6,1145459,20721,13.95131686,9.938951217,US,100,High (1M-5M)
University of Nicosia,University Of Corsica; University Of Nicosia,12,213677,10079,12.27222549,9.218308542,CY,90,Medium (100K-1M)
University of Nigeria,University Of Nigeria,5,738218,37389,13.51199581,10.52915857,NG,100,Medium (100K-1M)
University of North Carolina Wilmington,University Of North Carolina Wilmington,6,511007,13921,13.14414052,9.541225602,US,100,Medium (100K-1M)
University of North Carolina at Chapel Hill,University Of North Carolina At Chapel Hill,23,34624548,353152,17.3600735,12.77465667,US,100,Elite (5M+)
University of North Carolina at Charlotte,University Of North Carolina; University Of North Carolina At Charlotte; University Of North Carolina Charlotte,36,1787457,41762,14.39630506,10.63976606,US,95,High (1M-5M)
University of North Carolina at Pembroke,University Of North Carolina At Pembroke,3,113712,5393,11.64143301,8.593042504,US,100,Medium (100K-1M)
University of North Dakota,University Of North Dakota,6,1203473,25076,14.00072293,10.12970637,US,100,High (1M-5M)
