the_official_name,gdelt_name,cyber_news_count,cited_by_count,works_count,log_cited_by_count,log_works_count,country,match_score,prestige_tier
Mercyhurst University,Mercyhurst University,9,19550,938,9.88078171500049,6.844815479208263,US,100,Low (<100K)
Miami University,Miami University,21,1469284,37420,14.200286445868892,10.529987323148188,US,100,High (1M-5M)
Middlebury College,Middlebury College,4,216106,6997,12.283528934381277,8.853379672927634,US,100,Medium (100K-1M)
Middlesex University,Middlesex University,3,877372,18598,13.684687494503128,9.830863094815127,GB,100,Medium (100K-1M)
Midland University,Midland University,5,738,76,6.6052979209482015,4.343805421853684,US,100,Low (<100K)
Millersville University,Millersville University,3,68470,2817,11.134165576944929,7.943782692458625,US,100,Low (<100K)
Mississippi Gulf Coast Community College,Mississippi Gulf Coast Community College,5,811,94,6.699500340161678,4.553876891600541,US,100,Low (<100K)
Mississippi Valley State University,Mississippi Valley State University,4,4286,389,8.363342466597977,5.966146739123692,US,100,Low (<100K)
Missouri Southern State University,Missouri Southern State University,3,8358,634,9.031094081699155,6.453624998892692,US,100,Low (<100K)
Mohamed bin Zayed University of Artificial Intelligence,Mohamed Bin Zayed University Of Artificial Intelligence,3,111192,3712,11.61902270917692,8.21959545417708,AE,100,Medium (100K-1M)
Mohawk Valley Community College,Mohawk Valley Community College,8,1741,144,7.462789157412448,4.976733742420574,US,100,Low (<100K)
Moi University,I University; Moi University,6,239286,9604,12.385418947305885,9.170039075202656,KE,92,Medium (100K-1M)
Monash University,Monash University,5,21418407,281840,16.879761297159224,12.54909836112123,AU,100,Elite (5M+)
Monmouth University,Monmouth University,4,86983,3900,11.373479472677586,8.268988209506656,US,100,Low (<100K)
Montgomery College,Montgomery College,3,18214,919,9.810000709442663,6.824373670043086,US,100,Low (<100K)
Moraine Valley Community College,Moraine Valley Community College; Moraine Valley Community College In Palos Hills,7,742,107,6.610696044717759,4.68213122712422,US,95,Low (<100K)
Morehouse College,Morehouse College,5,29651,1463,10.29728485577661,7.288927694521257,US,100,Low (<100K)
Morris College,Morris College,4,3121,130,8.046229101075378,4.875197323201151,US,100,Low (<100K)
Mount Carmel College of Nursing,Carmel College,4,3289,328,8.098642843759418,5.796057750765372,US,90,Low (<100K)
Multimedia University,Multimedia University,10,420236,17791,12.94857411682452,9.78650419705031,MY,100,Medium (100K-1M)
Nanyang Technological University,Technological University; University Technological,10,17486670,193415,16.676949491542715,12.172598588672455,SG,95,Elite (5M+)
National Central University,Central University; University National,10,2927451,45350,14.88964297807706,10.722187506016818,TW,90,High (1M-5M)
National College of Ireland,National College Of Ireland,5,34870,2274,10.459410817205152,7.729735331385051,IE,100,Low (<100K)
National Forensic Sciences University,National Forensic Science University; National Forensic Sciences University,22,46186,2239,10.740453652192178,7.714231144849085,IN,99,Low (<100K)
National Institute of Technology Rourkela,National Institute Of Technology,14,985255,22902,13.800656784863625,10.03902318532882,IN,95,Medium (100K-1M)
National Research University Higher School of Economics,Research University,6,784813,64377,13.573202026014036,11.072527238821948,RU,90,Medium (100K-1M)
National University of Ireland,National University Of Ireland,4,973509,10704,13.788663375955297,9.278466201023782,IE,100,Medium (100K-1M)
National University of Science and Technology,National University Of Science,5,689462,15670,13.443668312701666,9.659567149523216,RU,90,Medium (100K-1M)
National University of Singapore,National University Of Singapore; National University Of Singapore School Of Computing,45,24786179,277616,17.02579679774471,12.533997744932828,SG,90,Elite (5M+)
New Jersey Institute of Technology,Jersey Institute Of Technology,12,1404460,31430,14.155164157251972,10.355549946021076,US,95,High (1M-5M)
New York College of Health Professions,College Of Health; York College,8,583986,4952,13.277634001288629,8.507748732588238,US,90,Medium (100K-1M)
New York Institute of Technology,York Institute Of Technology,15,223007,6240,12.314962924238245,8.738895704934043,US,95,Medium (100K-1M)
New York State College of Agriculture & Life Sciences,College Of Agriculture,4,431590,5127,12.975233659507362,8.542470998600505,US,90,Medium (100K-1M)
New York University,Election Reform Program At New York University; Justice At New York University,10,26659653,275738,17.09866189438606,12.527210045114272,US,90,Elite (5M+)
New York University Abu Dhabi,York University Abu Dhabi,6,418349,8394,12.944073681723744,9.035391569511642,AE,95,Medium (100K-1M)
Newbold College of Higher Education,College Of Higher,4,10480,816,9.257319373170178,6.705639094860003,GB,90,Low (<100K)
Newcastle University,Newcastle University; University Of Newcastle,40,11771297,150679,16.281174753529857,11.922913661805977,GB,95,Elite (5M+)
Niagara University,Niagara University,4,44464,2203,10.70245764183374,7.698029170272805,US,100,Low (<100K)
North Dakota University System,Dakota University; Dakota University System; University System,18,1064,117,6.970730078143525,4.770684624465665,US,90,Low (<100K)
North Idaho College,Idaho College,7,12086,457,9.399885773859458,6.126869184114185,US,95,Low (<100K)
Northcentral University,Northcentral University,3,12782,961,9.45587144216802,6.8690144506657065,US,100,Low (<100K)
Northeastern University,Device Cybersecurity At Northeastern University; Matthew Modoono Northeastern University; Northeastern University,49,6449157,82775,15.679460137614864,11.323893443284788,US,90,Elite (5M+)
Northern Virginia Community College,Northern Virginia Community College,6,10855,515,9.292473201514705,6.246106765481563,US,100,Low (<100K)
Northwestern University,Northwestern University,30,35554278,260397,17.386571072652295,12.469966508795505,US,100,Elite (5M+)
Nova Southeastern University,Southeastern University,3,843076,22762,13.64481357326348,10.03289168974739,US,95,Medium (100K-1M)
Oakland University,Oakland University,9,1089839,30114,13.901541454439942,10.312778665477822,US,100,High (1M-5M)
Oakwood University,Oakwood University,3,19577,481,9.882161765821376,6.1779441140506,US,100,Low (<100K)
Ohio University,Ohio University,15,2383721,53020,14.684173689629562,10.878443340472396,US,100,High (1M-5M)
Ohlone College,Ohlone College,5,2057,138,7.629489916393995,4.934473933130692,US,100,Low (<100K)
Ollscoil na Gaillimhe – University of Galway,University Of Galway,5,3106652,50105,14.949056498842356,10.821896040381285,IE,90,High (1M-5M)
Open University of Israel,Israel University; University Israel; University Of Israel,12,163927,5525,12.007182586016668,8.617219505483362,IL,95,Medium (100K-1M)
Oranim Academic College of Education,College Of Education,12,84902,2968,11.349264707364194,7.99598047476376,IL,90,Low (<100K)
Oregon Health & Science University,Oregon Health Science University; Science University,12,12394235,121377,16.33274208379458,11.706664922074989,US,90,Elite (5M+)
Osmania University,Osmania University,5,501823,18336,13.126004739590591,9.816676155549164,IN,100,Medium (100K-1M)
Our Lady of the Lake University,Lake University,8,21358,770,9.969228475498804,6.647688373563329,US,90,Low (<100K)
Ozarks Technical Community College,Ozarks Technical Community College,4,1726,91,7.454141078146678,4.5217885770490405,US,100,Low (<100K)
Pace University,Information Systems At Pace University; Pace University,22,246466,10079,12.414983389263575,9.21830854162536,US,90,Medium (100K-1M)
Palm Beach State College,Palm Beach State College,4,1564,254,7.355641102974253,5.541263545158426,US,100,Low (<100K)
Parul University,Parul University,4,61335,6638,11.024122225238733,8.80071662871916,IN,100,Low (<100K)
Pellissippi State Community College,Pellissippi State Community College,5,7482,244,8.920389060080359,5.501258210544727,US,100,Low (<100K)
Pennsylvania Highlands Community College,Pennsylvania Highlands Community College,4,274,19,5.616771097666572,2.995732273553991,US,100,Low (<100K)
Pepperdine University,Pepperdine University,5,168631,8497,12.03547410487973,9.047586120674756,US,100,Medium (100K-1M)
Polytechnic University of the Philippines,Polytechnic University Of The Philippines; University Of The Philippines,12,11313,2125,9.3337961759031,7.661997558901893,PH,95,Low (<100K)
Prairie View A&M University,Prairie View A M University,7,183277,6452,12.118759404802452,8.77230041793584,US,100,Medium (100K-1M)
Princeton University,Princeton University; University Of Princeton,47,26841120,211607,17.105445635216444,12.262490785434972,US,95,Elite (5M+)
Punjab Engineering College,Engineering College,8,134589,8206,11.80998839922776,9.012742727629712,IN,95,Medium (100K-1M)
Qatar University,Qatar University,9,1737699,40636,14.368072957710346,10.612434260629977,QA,100,High (1M-5M)
"Queens College, CUNY",Queens College,6,680398,18138,13.430434669779071,9.805819595357969,US,95,Medium (100K-1M)
Queensland University of Technology,Queensland University Of Technology; University Of Queensland,47,5626347,100874,15.542971121789058,11.52163740557225,AU,95,Elite (5M+)
Quest University Canada,Canada University,3,73464,2697,11.204564381310046,7.900266036767701,CA,95,Low (<100K)
Quinnipiac University,Quinnipiac University,8,130757,5934,11.781103565523866,8.688622307043769,US,100,Medium (100K-1M)
RMIT University,It University; Rmit University,20,4129616,83956,15.233695224559478,11.338060041995572,AU,93,High (1M-5M)
Radboud University Nijmegen,Radboud University,12,24742133,205988,17.024018178282255,12.23557804828774,NL,90,Elite (5M+)
Radford University,Radford University,6,90688,4221,11.415191349806776,8.348064228408266,US,100,Low (<100K)
Regent University,Regent University,5,63038,3465,11.05150886146178,8.150756470275551,US,100,Low (<100K)
Regis University,Regis University,19,83916,3039,11.337583494099448,8.019612794400267,US,100,Low (<100K)
Reichman University,Reichman University; Reichman University In Herzliya,8,218429,5799,12.294220876056867,8.66561319653451,IL,90,Medium (100K-1M)
Rensselaer Polytechnic Institute,Polytechnic Institute,4,4125128,63260,15.23260784998921,11.055024304512123,US,90,High (1M-5M)
Rice University,Rice University,32,10473526,82326,16.164361393359425,11.318454400906347,US,100,Elite (5M+)
River Parishes Community College,River Parishes Community College,3,911,34,6.815639990074331,3.555348061489413,US,100,Low (<100K)
Roane State Community College,Roane State Community College; Roane State Community College Workforce Training,14,2745,114,7.917900586327916,4.74493212836325,US,90,Low (<100K)
Rochester Institute of Technology,Rochester Institute Of Technology,46,1946003,30567,14.481288597224433,10.327708989126736,US,100,High (1M-5M)
Rose–Hulman Institute of Technology,Rose-Hulman Institute Of Technology,3,68229,3933,11.130639629809467,8.277411998949004,US,100,Low (<100K)
Rowan College at Burlington County,Rowan College At Burlington,3,1674,210,7.423568444259167,5.351858133476067,US,95,Low (<100K)
Rowan University,Rowan University,4,494084,15281,13.11046284614594,9.634430944207512,US,100,Medium (100K-1M)
Royal College of Nursing,College Of Nursing; Royal College Of Nursing,8,98305,2913,11.495840341912414,7.97728198675515,GB,95,Low (<100K)
Royal College of Surgeons in Ireland,Royal College,3,1611630,23963,14.292757267656649,10.084307983203816,IE,90,High (1M-5M)
Royal Danish Defence College,Defence College,11,98992,1418,11.502804419546155,7.257707677160043,DK,90,Low (<100K)
Ruhr University Bochum,Ruhr University Bochum; University Bochum,21,7504063,120970,15.830955298416477,11.703306126432086,DE,95,Elite (5M+)
"Rutgers, The State University of New Jersey",University Of New Jersey,3,21390342,250959,16.87845011646064,12.43304884286456,US,90,Elite (5M+)
Saint Louis University,Louis University,3,3649295,49525,15.11004483024324,10.810253063185211,US,95,High (1M-5M)
Salt Lake Community College,Salt Lake Community College,5,16175,472,9.691283941260252,6.159095388491933,US,100,Low (<100K)
